12/3/2022,Orlando Magic,Toronto Raptors
12/3/2022,Houston Rockets,Golden State Warriors
12/3/2022,Portland Trail Blazers,Utah Jazz
12/4/2022,Denver Nuggets,New Orleans Pelicans
12/4/2022,Phoenix Suns,San Antonio Spurs
12/4/2022,Boston Celtics,Brooklyn Nets
12/4/2022,Memphis Grizzlies,Detroit Pistons
12/4/2022,Cleveland Cavaliers,New York Knicks
12/4/2022,Chicago Bulls,Sacramento Kings
12/4/2022,Los Angeles Lakers,Washington Wizards
12/4/2022,Indiana Pacers,Portland Trail Blazers
12/5/2022,Los Angeles Clippers,Charlotte Hornets
12/5/2022,Milwaukee Bucks,Orlando Magic
12/5/2022,Oklahoma City Thunder,Atlanta Hawks
12/5/2022,Boston Celtics,Toronto Raptors
12/5/2022,Philadelphia 76ers,Houston Rockets
12/5/2022,Miami Heat,Memphis Grizzlies
12/5/2022,Phoenix Suns,Dallas Mavericks
12/5/2022,Indiana Pacers,Golden State Warriors
12/6/2022,Los Angeles Lakers,Cleveland Cavaliers
12/6/2022,Detroit Pistons,Miami Heat
12/6/2022,Dallas Mavericks,Denver Nuggets
12/7/2022,Los Angeles Clippers,Orlando Magic
12/7/2022,Charlotte Hornets,Brooklyn Nets
12/7/2022,Atlanta Hawks,New York Knicks
12/7/2022,Los Angeles Lakers,Toronto Raptors
12/7/2022,Washington Wizards,Chicago Bulls
12/7/2022,Oklahoma City Thunder,Memphis Grizzlies
12/7/2022,Sacramento Kings,Milwaukee Bucks
12/7/2022,Indiana Pacers,Minnesota Timberwolves
12/7/2022,Detroit Pistons,New Orleans Pelicans
12/7/2022,Golden State Warriors,Utah Jazz
12/7/2022,Boston Celtics,Phoenix Suns
12/8/2022,Los Angeles Clippers,Miami Heat
12/8/2022,Houston Rockets,San Antonio Spurs
12/8/2022,Denver Nuggets,Portland Trail Blazers
12/9/2022,New York Knicks,Charlotte Hornets
12/9/2022,Washington Wizards,Indiana Pacers
12/9/2022,Toronto Raptors,Orlando Magic
12/9/2022,Atlanta Hawks,Brooklyn Nets
12/9/2022,Sacramento Kings,Cleveland Cavaliers
12/9/2022,Los Angeles Lakers,Philadelphia 76ers
12/9/2022,Detroit Pistons,Memphis Grizzlies
12/9/2022,Phoenix Suns,New Orleans Pelicans
12/9/2022,Minnesota Timberwolves,Utah Jazz
12/9/2022,Milwaukee Bucks,Dallas Mavericks
12/10/2022,San Antonio Spurs,Miami Heat
12/10/2022,Brooklyn Nets,Indiana Pacers
12/10/2022,Los Angeles Clippers,Washington Wizards
12/10/2022,Oklahoma City Thunder,Cleveland Cavaliers
12/10/2022,Dallas Mavericks,Chicago Bulls
12/10/2022,Boston Celtics,Golden State Warriors
12/10/2022,Utah Jazz,Denver Nuggets
12/10/2022,Minnesota Timberwolves,Portland Trail Blazers
12/11/2022,Phoenix Suns,New Orleans Pelicans
12/11/2022,Los Angeles Lakers,Detroit Pistons
12/11/2022,Sacramento Kings,New York Knicks
12/11/2022,Toronto Raptors,Orlando Magic
12/11/2022,Charlotte Hornets,Philadelphia 76ers
12/11/2022,Chicago Bulls,Atlanta Hawks
12/11/2022,Milwaukee Bucks,Houston Rockets
12/12/2022,Miami Heat,Indiana Pacers
12/12/2022,Brooklyn Nets,Washington Wizards
12/12/2022,Atlanta Hawks,Memphis Grizzlies
12/12/2022,Oklahoma City Thunder,Dallas Mavericks
12/12/2022,Cleveland Cavaliers,San Antonio Spurs
12/12/2022,Minnesota Timberwolves,Portland Trail Blazers
12/12/2022,Boston Celtics,Los Angeles Clippers
12/13/2022,Sacramento Kings,Philadelphia 76ers
12/13/2022,Golden State Warriors,Milwaukee Bucks
12/13/2022,Phoenix Suns,Houston Rockets
12/13/2022,New Orleans Pelicans,Utah Jazz
12/13/2022,Boston Celtics,Los Angeles Lakers
12/14/2022,Detroit Pistons,Charlotte Hornets
12/14/2022,Golden State Warriors,Indiana Pacers
12/14/2022,Atlanta Hawks,Orlando Magic
12/14/2022,New York Knicks,Chicago Bulls
12/14/2022,Sacramento Kings,Toronto Raptors
12/14/2022,Miami Heat,Oklahoma City Thunder
12/14/2022,Portland Trail Blazers,San Antonio Spurs
